GN	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31
CALML5	50976.78608	30947.11731	28524.56039	50322.46628	8713.857758	14492.99276	16762.90874	15048.19104	15689.67638	8931.184236
HBA1	21234.1036	117614.6915	49959.92569	211539.8302	77002.21983	198891.7212	5317.038757	10298.41757	9468.66532	12589.68125
JAM3	123980.0834	111453.6285	76504.71477	75734.02977	33512.29008	32346.61794	33580.49137	31124.18252	29878.62926	28241.80638
NRN1	57766.54448	50208.42882	50910.14739	41332.96797	20425.23618	17026.68156	21525.32089	18218.66237	23396.46607	18825.84488
TRPC4	50065.21573	49132.24004	28027.31234	29388.43162	13252.59375	14156.82519	11451.78005	13537.26266	15512.00082	13072.63817
DNTT	86601.70901	98034.44593	71179.70083	81605.26224	29734.78724	31629.58827	27618.04269	31759.88134	30814.72121	29262.69533
SELENBP1	40335.60956	87453.90067	50172.60892	50117.93715	36117.83755	31126.39742	7331.125117	11011.28424	27870.98473	12603.60894
CD4	28836.0005	27310.93208	17629.35812	14738.42279	6243.587189	6714.063633	7476.63496	9123.958696	9560.898289	8703.784658
USP7	222267.5597	212871.6884	199769.0175	186860.8239	80658.9155	78022.24547	79951.89774	74108.54537	83372.00025	74275.58863
CSTA	143696.0379	155340.4219	92342.90588	285208.3847	58119.42311	95601.2582	100452.5638	83979.31823	65060.92039	61682.05669
KCTD12	35812.19852	31692.42761	38024.68186	33325.58027	18582.19966	16932.71847	17348.38402	15063.84958	19270.91223	16568.34953
PTPRK	33341.70785	33442.14449	25483.0432	25293.81245	12187.56284	10196.39358	12897.4928	13004.19382	12602.90572	13091.87369
SH3GL3	21605.91755	23531.86554	21964.97191	22954.76148	11220.40511	12967.42277	11228.85486	11177.92812	11714.10116	11257.55062
S100A7	65698.06568	45921.39568	39617.7137	41659.04921	19681.37574	26632.29616	35810.05668	23941.95553	25884.24841	12502.95348
KRT17	195530.8624	85596.48172	53078.59588	45736.82905	31986.61285	44739.61324	60400.79811	33664.62713	34026.84128	26603.48296
PDCD4	95179.24878	101210.1427	61682.18002	62389.93017	30916.45402	33543.03858	33315.20992	34207.99265	35558.71453	33220.49538
CD99	36307.42653	39192.41109	43185.37293	40825.09485	25863.89869	24369.08984	24512.61909	23854.17171	26264.50896	22578.02757
SEC14L3	29745.23644	71983.48272	25336.56025	37847.8617	30201.63586	21561.16941	8360.1386	7431.306865	20124.86171	10611.06279
MOCS1	99469.2919	97313.37769	83068.00575	84136.89117	44465.18451	44698.38746	45223.80328	42465.56535	43030.31843	41652.98953
PIP	30669.30954	30310.1864	17514.37136	26331.66521	9997.404782	18283.98212	25267.4525	12815.25866	14539.1989	7509.035764
DCD	659304.0986	694512.34	342698.2053	405034.3945	184134.5508	406122.6127	436566.8009	318723.2694	244141.482	200046.5845
MED11	102548.6266	80671.18202	80883.59841	61453.44682	73978.1754	63590.87326	55145.22214	34415.75335	35258.56679	28743.28691
IGJ	35126.64618	44566.76697	16869.85017	40136.33129	10901.83933	28283.21892	33464.56454	18077.22999	16031.70504	9947.986258
FYB	417692.5602	419038.1728	395504.2719	401545.7012	211185.1711	203348.0098	195551.3939	190655.2401	201348.8566	199629.8746
IGFBP2	167640.9558	166744.4872	156576.8271	154881.2357	77196.12606	85983.16523	80563.49708	87835.47981	84918.74312	88839.33453
RECK	100134.6477	84368.39763	95334.09976	100900.784	49602.30609	49975.92473	48054.3796	50695.25777	49381.35449	51557.99575
CHI3L2	12523.20173	10698.87926	10918.70828	11531.89116	6303.802459	5752.105369	6200.734934	6688.979001	6528.997832	5721.103595
