sample	type	H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995
TARGET_20_PAUHFI_09A_01R_RBS	KMT2A.Fusion	0.2664277567488522
TARGET_20_PAUHXN_03A_01R_RBS	RUNX1.RUNX1T1	0.6067873951262377
TARGET_20_PAUJCF_09A_01R_RBS	CBFB.MYH11	0.5339448904839081
TARGET_20_PAUJMC_09A_01R_RBS	unknown	-0.008296913929562657
TARGET_20_PAUJNJ_09A_01R_RBS	NUP98.Fusion	0.4172762539350236
TARGET_20_PAUKDH_09A_01R_RBS	RUNX1.RUNX1T1	-0.2808906588227712
TARGET_20_PAUKEZ_03A_01R_RBS	CBFB.MYH11	0.4722559245201527
TARGET_20_PAUKTH_09A_01R_RBS	PICALM.Fusion	0.25298692681143753
TARGET_20_PAULDS_09A_01R_RBS	RUNX1.RUNX1T1	0.44437772033002615
TARGET_20_PAULNJ_09A_01R_RBS	RUNX1.RUNX1T1	0.3043326972807921
TARGET_20_PAULRS_09A_01R_RBS	RUNX1.RUNX1T1	0.2822929269660441
TARGET_20_PAULSL_09A_01R_RBS	KMT2A.Fusion	0.44917286765704323
TARGET_20_PAULTY_09A_01R_RBS	NPM1	0.42979464737037454
TARGET_20_PAUMAD_09A_01R_RBS	ETS.Fusion	0.5623256712561489
TARGET_20_PAUMCV_03A_01R_RBS	unknown	0.2678968037273712
TARGET_20_PAUMGZ_09A_01R_RBS	NPM1	0.13016229483096922
TARGET_20_PAUMIH_09A_01R_RBS	CBFA2T3.GLIS2	0.5131445859643811
TARGET_20_PAUMJB_09A_01R_RBS	RUNX1.RUNX1T1	-0.2571454530085005
TARGET_20_PAUMMR_09A_01R_RBS	NUP98.Fusion	0.6270544423017028
TARGET_20_PAUMTZ_09A_01R_RBS	KMT2A.Fusion	0.570715332691471
TARGET_20_PAUMUZ_09A_01R_RBS	ETS.Fusion	0.5284669164228377
TARGET_20_PAUNBR_09A_01R_RBS	KMT2A.Fusion	0.5431233056210488
TARGET_20_PAUNDC_09A_01R_RBS	KMT2A.Fusion	0.3969578804509114
TARGET_20_PAUNHG_09A_01R_RBS	unknown	0.2685299308676738
TARGET_20_PAUNSV_09A_01R_RBS	CEBPA	0.5967772137315281
TARGET_20_PAUNTD_09A_01R_RBS	CBFA2T3.GLIS2	0.2679050284888428
TARGET_20_PAUNVJ_09A_01R_RBS	CEBPA	0.5175690187120235
TARGET_20_PAUNVK_09A_01R_RBS	RUNX1.RUNX1T1	-0.12724023180000552
TARGET_20_PAUNYL_09A_01R_RBS	KMT2A.Fusion	-0.12966492340667213
TARGET_20_PAUPDB_03A_01R_RBS	NUP98.Fusion	0.46569441353527535
TARGET_20_PAUPIY_09A_01R_RBS	NUP98.Fusion	0.5929693478142548
TARGET_20_PAUPPD_03A_01R_RBS	KMT2A.Fusion	0.6235089439750056
TARGET_20_PAUPYX_03A_01R_RBS	KMT2A.Fusion	0.06407933320371369
TARGET_20_PAURDN_09A_01R_RBS	NUP98.Fusion	0.6224150091660519
TARGET_20_PAURJK_09A_01R_RBS	unknown	0.04179977065147698
TARGET_20_PAURJZ_09A_01R_RBS	RUNX1.CBFA2T3	0.39130274368928125
TARGET_20_PAURLB_09A_01R_RBS	NPM1	0.30889574719676427
TARGET_20_PAURUT_09A_01R_RBS	CEBPA	0.26285920282223585
TARGET_20_PAURVI_09A_01R_RBS	RUNX1.RUNX1T1	0.045237251855404385
TARGET_20_PAURWH_09A_01R_RBS	CBFB.MYH11	0.25859495338487515
TARGET_20_PAUSBA_09A_01R_RBS	KMT2A.Fusion	0.42850298387330044
TARGET_20_PAUSBK_09A_01R_RBS	KMT2A.Fusion	0.517523570726074
TARGET_20_PAUSBP_09A_01R_RBS	KMT2A.Fusion	0.6187863159599597
TARGET_20_PAUSCS_09A_01R_RBS	UBTF	0.3848115807142639
TARGET_20_PAUSFM_09A_01R_RBS	KMT2A.Fusion	0.029039806431652944
TARGET_20_PAUSKR_09A_01R_RBS	KMT2A.Fusion	0.5841249000651941
TARGET_20_PAUTIK_09A_01R_RBS	RUNX1.RUNX1T1	0.44845756389850516
TARGET_20_PAUTJD_03A_01R_RBS	KMT2A.Fusion	0.5341670246901778
TARGET_20_PAUTVU_09A_01R_RBS	RBM15.MRTFA	0.47135312753528663
TARGET_20_PAUTWE_09A_01R_RBS	NUP214.Fusion	0.16835496850826567
TARGET_20_PAUUHV_09A_01R_RBS	KMT2A.Fusion	0.5598871785346963
TARGET_20_PAUUKK_09A_01R_RBS	CREBBP.KAT6A	0.4881283370158807
TARGET_20_PAUUKZ_03A_01R_RBS	unknown	0.2710970133524261
TARGET_20_PAUUMZ_03A_01R_RBS	CBFB.MYH11	0.6093848401343738
TARGET_20_PAUUPR_09A_01R_RBS	ETS.Fusion	0.3436477006295087
TARGET_20_PAUUTI_09A_01R_RBS	CEBPA	0.33140026388163235
TARGET_20_PAUUTI_09A_01R_replicate	CEBPA	0.36982913937331785
TARGET_20_PAUUWT_09A_01R_RBS	CEBPA	0.5289575773922927
TARGET_20_PAUUXA_09A_01R_RBS	KMT2A.Fusion	0.35681620912851947
TARGET_20_PAUUZT_09A_01R_RBS	RUNX1.RUNX1T1	0.4167207321858306
TARGET_20_PAUVAT_09A_01R_RBS	MLLT10.NAP1L1	0.521805222202802
TARGET_20_PAUVBS_09A_01R_RBS	KMT2A.Fusion	-0.09392298292553605
TARGET_20_PAUVBZ_09A_01R_RBS	unknown	-0.2047586607401723
TARGET_20_PAUVEF_09A_01R_RBS	UBTF	0.5405543405239105
TARGET_20_PAUVGD_09A_01R_RBS	NUP98.Fusion	0.43852158033657884
TARGET_20_PAUVIB_09A_01R_RBS	KMT2A.Fusion	0.4873425072365773
TARGET_20_PAUVIB_09A_01R_replicate	KMT2A.Fusion	0.5238429963152273
TARGET_20_PAUVMN_09A_01R_RBS	CEBPA	0.3963679002602154
TARGET_20_PAUVPP_09A_01R_RBS	unknown	0.04459105847760048
TARGET_20_PAUVWV_09A_01R_RBS	KMT2A.Fusion	0.1406458909278971
TARGET_20_PAUVXT_03A_01R_RBS	KMT2A.Fusion	0.6025759098205982
TARGET_20_PAUVXU_03A_01R_RBS	KMT2A.Fusion	0.5822834084617636
TARGET_20_PAUVZD_09A_01R_RBS	NUP98.Fusion	0.22655762050433295
TARGET_20_PAUWCF_09A_01R_RBS	unknown	0.5815723031286936
TARGET_20_PAUWEW_09A_01R_RBS	CBFB.MYH11	0.21241579196714
TARGET_20_PAUWFM_09A_01R_RBS	CBFA2T3.GLIS2	0.5505182425738134
TARGET_20_PAUWHF_03A_01R_RBS	KMT2A.Fusion	0.29068296696407
TARGET_20_PAUWKY_09A_01R_RBS	unknown	0.43704447438759336
TARGET_20_PAUWUZ_09A_01R_RBS	KMT2A.Fusion	0.6191960392788813
TARGET_20_PAUWYR_09A_01R_RBS	KMT2A.Fusion	0.36844872096737585
TARGET_20_PAUWYZ_09A_01R_RBS	CEBPA	0.4287633545692245
TARGET_20_PAUXCD_09A_01R_RBS	CBFB.MYH11	0.2741228060903435
TARGET_20_PAUXKI_09A_01R_RBS	RUNX1.RUNX1T1	0.042019375222659264
TARGET_20_PAUXNH_09A_01R_RBS	RUNX1.RUNX1T1	0.47054887952405156
TARGET_20_PAUXYG_09A_01R_RBS	UBTF	0.49210946511026515
TARGET_20_PAUYAE_09A_01R_RBS	NPM1	0.45010275696717805
TARGET_20_PAUYDT_09A_01R_RBS	NPM1	0.6107690344574195
TARGET_20_PAUYEV_09A_01R_RBS	RUNX1.RUNX1T1	0.27266551027076824
TARGET_20_PAUYHR_09A_01R_RBS	ETS.Fusion	0.3443872548769577
TARGET_20_PAUYRR_09A_01R_RBS	NPM1	0.47562418899264375
TARGET_20_PAUYSN_09A_01R_RBS	unknown	0.23460018595962706
TARGET_20_PAUYUH_09A_01R_RBS	unknown	0.3413301792005991
TARGET_20_PAUZJJ_09A_01R_RBS	CBFA2T3.GLIS2	0.2207638013166096
TARGET_20_PAUZMH_09A_01R_RBS	NPM1	0.43776873685051815
TARGET_20_PAUZRX_09A_01R_RBS	RUNX1.RUNX1T1	0.6005060032410852
TARGET_20_PAUZRY_09A_01R_RBS	RUNX1.RUNX1T1	0.28465528330050804
TARGET_20_PAUZSY_09A_01R_RBS	unknown	-0.13462619783400465
TARGET_20_PAUZTH_09A_01R_RBS	KMT2A.Fusion	0.27485683093746754
TARGET_20_PAUZTM_09A_01R_RBS	unknown	0.32228629277916987
TARGET_20_PAUZVP_09A_01R_RBS	NUP214.Fusion	-0.080313067573725
TARGET_20_PAUZXP_09A_01R_RBS	unknown	-0.04034807814350207
TARGET_20_PAVACZ_09A_01R_RBS	KMT2A.Fusion	0.2076762812476289
TARGET_20_PAVAFA_03A_01R_RBS	NUP98.Fusion	-0.09767412877400489
TARGET_20_PAVAFJ_09A_01R_RBS	RUNX1.RUNX1T1	-0.0921715746122892
TARGET_20_PAVALI_09A_01R_RBS	ETS.Fusion	-0.2513460609465515
TARGET_20_PAVALK_09A_01R_RBS	KMT2A.Fusion	0.5177329111836385
TARGET_20_PAVANE_09A_01R_RBS	UBTF	-0.021116157510418905
TARGET_20_PAVANX_09A_01R_RBS	unknown	0.2145573681256411
