sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAUHFI_09A_01R_RBS	KMT2A.Fusion	0.3089474393802259
TARGET_20_PAUHXN_03A_01R_RBS	RUNX1.RUNX1T1	0.5133562332514465
TARGET_20_PAUJCF_09A_01R_RBS	CBFB.MYH11	0.3710525840532268
TARGET_20_PAUJMC_09A_01R_RBS	unknown	0.10852642897336429
TARGET_20_PAUJNJ_09A_01R_RBS	NUP98.Fusion	0.281656115849174
TARGET_20_PAUKDH_09A_01R_RBS	RUNX1.RUNX1T1	-0.0666269037776636
TARGET_20_PAUKEZ_03A_01R_RBS	CBFB.MYH11	0.3884411088529328
TARGET_20_PAUKTH_09A_01R_RBS	PICALM.Fusion	0.03880294267560881
TARGET_20_PAULDS_09A_01R_RBS	RUNX1.RUNX1T1	0.22217169929400854
TARGET_20_PAULNJ_09A_01R_RBS	RUNX1.RUNX1T1	0.2786745656842618
TARGET_20_PAULRS_09A_01R_RBS	RUNX1.RUNX1T1	0.4881747030581664
TARGET_20_PAULSL_09A_01R_RBS	KMT2A.Fusion	0.20151091793197343
TARGET_20_PAULTY_09A_01R_RBS	NPM1	0.16796260167437027
TARGET_20_PAUMAD_09A_01R_RBS	ETS.Fusion	0.17201887268306726
TARGET_20_PAUMCV_03A_01R_RBS	unknown	0.03475915476759706
TARGET_20_PAUMGZ_09A_01R_RBS	NPM1	0.08458229071582742
TARGET_20_PAUMIH_09A_01R_RBS	CBFA2T3.GLIS2	0.4600418368630217
TARGET_20_PAUMJB_09A_01R_RBS	RUNX1.RUNX1T1	-0.1314748815598869
TARGET_20_PAUMMR_09A_01R_RBS	NUP98.Fusion	0.3613247265066672
TARGET_20_PAUMTZ_09A_01R_RBS	KMT2A.Fusion	0.32369881402781386
TARGET_20_PAUMUZ_09A_01R_RBS	ETS.Fusion	0.281847505715888
TARGET_20_PAUNBR_09A_01R_RBS	KMT2A.Fusion	0.2625716097740479
TARGET_20_PAUNDC_09A_01R_RBS	KMT2A.Fusion	0.2974641604790212
TARGET_20_PAUNHG_09A_01R_RBS	unknown	0.14323226587421356
TARGET_20_PAUNSV_09A_01R_RBS	CEBPA	0.4152428726391533
TARGET_20_PAUNTD_09A_01R_RBS	CBFA2T3.GLIS2	0.1664529105104356
